STATIONID,Value ,Grouping
20211118-1315-tdaley,70.56829392,Regular_IBI
20211118-1350-tdaley,67.29838383,Regular_IBI
20211118-1440-tdaley,69.27081454,Regular_IBI
20211122-1230-smeans,87.35761528,Regular_IBI
20211123-0952-dushull,100.1834593,Regular_IBI
20211123-1124-dushull,79.4421768,Regular_IBI
20211123-1210-dushull,78.3205444,Regular_IBI
20211123-1455-tdaley,64.94931761,Regular_IBI
20211129-1000-jeremmille,52.88524932,Regular_IBI
20211129-1100-jeremmille,55.17589019,Regular_IBI
20211129-1200-jeremmille,70.11345873,Regular_IBI
20211129-1300-jeremmille,47.84726887,Regular_IBI
20211129-1400-jeremmille,96.60934566,Regular_IBI
20211130-1015-jeremmille,73.32020845,Regular_IBI
20211130-1130-jeremmille,79.98805321,Regular_IBI
20211130-1245-jeremmille,69.27953636,Regular_IBI
20211130-1345-jeremmille,78.19686643,Regular_IBI
20211201-0800-twertz,75.33571128,Regular_IBI
20211201-0900-twertz,97.73562445,Regular_IBI
20211201-1230-tdaley,66.97551155,Regular_IBI
20211201-1345-tdaley,60.71020422,Regular_IBI
20211202-0930-jeremmille,96.28724067,Regular_IBI
20211202-1030-jeremmille,89.71855798,Regular_IBI
20211202-1145-jeremmille,42.85312289,Regular_IBI
20211202-1230-jeremmille,70.12610462,Regular_IBI
20211202-1330-jeremmille,50.37835998,Regular_IBI
20211206-1000-jeremmille,53.47067559,Regular_IBI
20211206-1100-kstaudenme,44.10963752,Regular_IBI
20211206-1200-jeremmille,38.05238028,Regular_IBI
20211206-1245-jeremmille,27.78949475,Regular_IBI
20211206-1330-jeremmille,89.39460165,Regular_IBI
20211208-0945-ablascovic,34.20535683,Regular_IBI
20211208-1015-ablascovic,57.3908349,Regular_IBI
20211208-1115-ablascovic,31.5765716,Regular_IBI
20211209-0930-ablascovic,71.9417267,Regular_IBI
20211209-1000-ablascovic,65.18968314,Regular_IBI
20211209-1130-ablascovic,48.59483375,Regular_IBI
20211209-1200-ablascovic,34.82618784,Regular_IBI
20211213-0900-ablascovic,52.41239116,Regular_IBI
20211213-0945-jeremmille,52.79004862,Regular_IBI
20211213-1000-ablascovic,61.42526876,Regular_IBI
20211213-1045-jeremmille,60.65762048,Regular_IBI
20211213-1100-ablascovic,55.15352045,Regular_IBI
20211213-1200-jeremmille,51.40902018,Regular_IBI
20211213-1300-jeremmille,44.37804014,Regular_IBI
20211213-1345-jeremmille,53.98602252,Regular_IBI
20211214-0945-jagrassi,91.04112774,Regular_IBI
20211214-1120-tdaley,56.94970543,Regular_IBI
20211214-1130-jeremmille,28.8453021,Regular_IBI
20211214-1245-jagrassi,88.41616373,Regular_IBI
20211214-1245-jeremmille,41.75733822,Regular_IBI
20211214-1305-tdaley,94.18488205,Regular_IBI
20211214-1415-jeremmille,53.18664357,Regular_IBI
20211214-1515-jeremmille,52.2910021,Regular_IBI
20211215-1030-smeans,80.38307669,Regular_IBI
20211215-1120-slott,100.8700376,Regular_IBI
20211215-1200-tdaley,105.0687154,Regular_IBI
20211216-0900-mhoger,100.8390254,Regular_IBI
20211216-0956-mshank,86.85235339,Regular_IBI
20211216-1020-tdaley,72.3811696,Regular_IBI
20211216-1046-mshank,84.77900935,Regular_IBI
20211216-1145-tdaley,59.44867717,Regular_IBI
20211216-1152-mshank,74.04824129,Regular_IBI
20211216-1310-tdaley,76.59347744,Regular_IBI
20211216-1400-tdaley,71.63272965,Regular_IBI
20211220-0845-ablascovic,57.17742013,Regular_IBI
20211220-0915-ablascovic,79.0118447,Regular_IBI
20211220-1000-jeremmille,57.14622156,Regular_IBI
20211220-1100-mhoger,60.33784836,Regular_IBI
20211220-1115-jeremmille,56.29433244,Regular_IBI
20211220-1300-jeremmille,77.73240972,Regular_IBI
20211220-1400-jeremmille,31.73613724,Regular_IBI
20211221-0900-ablascovic,54.05689413,Regular_IBI
20211221-1015-jeremmille,31.97074016,Regular_IBI
20211221-1030-ablascovic,66.71658508,Regular_IBI
20211221-1130-ablascovic,42.62899821,Regular_IBI
20211221-1145-jeremmille,25.0937937,Regular_IBI
20211221-1315-jeremmille,21.98211786,Regular_IBI
20211221-1345-jeremmille,40.48672128,Regular_IBI
20211221-1430-jeremmille,29.82098271,Regular_IBI
20211222-0287-WQN,81.25119338,Regular_IBI
20211222-1026-twertz,84.91182536,Regular_IBI
20211222-1135-tdaley,62.53985039,Regular_IBI
20211222-1220-tdaley,86.1908937,Regular_IBI
20211222-1310-tdaley,81.14593165,Regular_IBI
20211222-1355-tdaley,64.30184435,Regular_IBI
20211222-1440-tdaley,83.0609093,Regular_IBI
20211228-1000-jbrancato,56.71974458,Regular_IBI
20211228-1100-jbrancato,56.04561977,Regular_IBI
20211229-1100-smeans,78.74743892,Regular_IBI
20211229-1200-smeans,89.00861316,Regular_IBI
20211229-1300-smeans,90.30982359,Regular_IBI
20211230-0901-mshank,67.95692497,Regular_IBI
20210112-1120-tdaley,71.09750276,SPEAR_IBI
20210112-1240-tdaley,70.44305216,SPEAR_IBI
20210112-1245-jeremmille,57.90155658,SPEAR_IBI
20210112-1315-jeremmille,63.79644039,SPEAR_IBI
20210112-1345-jeremmille,58.12194828,SPEAR_IBI
20210112-1415-jeremmille,55.711044,SPEAR_IBI
20210113-0900-jeremmille,34.99609192,SPEAR_IBI
20210113-1030-jeremmille,36.45087871,SPEAR_IBI
20210113-1130-tdaley,48.87356265,SPEAR_IBI
20210113-1200-jeremmille,41.78824176,SPEAR_IBI
20210113-1225-tdaley,38.19606463,SPEAR_IBI
20210113-1345-tdaley,73.78344064,SPEAR_IBI
20210120-1315-tdaley,45.53331011,SPEAR_IBI
20210120-1405-tdaley,62.98576733,SPEAR_IBI
20210125-1215-jeremmille,65.10406553,SPEAR_IBI
20210224-1045-tdaley,56.56993574,SPEAR_IBI
20210224-1245-jlorson,31.98686974,SPEAR_IBI
20210224-1300-jlorson,49.91907521,SPEAR_IBI
20210224-1410-tdaley,51.31020596,SPEAR_IBI
20210224-1450-tdaley,52.49494662,SPEAR_IBI
20210225-1104-mshank,65.39415798,SPEAR_IBI
20210225-1115-tdaley,62.20487964,SPEAR_IBI
20210225-1235-tdaley,67.70088102,SPEAR_IBI
20210225-1356-mshank,61.51206301,SPEAR_IBI
20210225-1520-mshank,67.92801161,SPEAR_IBI
20210301-0730-twertz,69.95933504,SPEAR_IBI
20210301-0939-twertz,71.10873729,SPEAR_IBI
20210303-0930-twertz,71.45062854,SPEAR_IBI
20210303-1040-tdaley,62.73777033,SPEAR_IBI
20210303-1245-drebuck,46.1967002,SPEAR_IBI
20210303-1355-tdaley,52.49368671,SPEAR_IBI
20210304-0935-drebuck,65.07380668,SPEAR_IBI
20210304-0955-tdaley,50.40679012,SPEAR_IBI
20210304-1015-jeremmille,57.69680362,SPEAR_IBI
20210304-1115-jeremmille,53.40091647,SPEAR_IBI
20210304-1240-drebuck,63.7472942,SPEAR_IBI
20210304-1315-tdaley,34.18995626,SPEAR_IBI
20210304-1430-drebuck,54.82281081,SPEAR_IBI
20210305-0950-drebuck,40.64747674,SPEAR_IBI
20210305-1230-drebuck,40.34469195,SPEAR_IBI
20210308-1125-drebuck,64.22180851,SPEAR_IBI
20210308-1410-drebuck,55.41131253,SPEAR_IBI
20210309-1025-ablascovic,48.83553328,SPEAR_IBI
20210309-1045-ablascovic,25.59890541,SPEAR_IBI
20210309-1130-ablascovic,54.01860387,SPEAR_IBI
20210309-1220-tdaley,51.16852328,SPEAR_IBI
20210309-1340-tdaley,53.74067337,SPEAR_IBI
20210310-0287-WQN,48.1082748,SPEAR_IBI
20210310-0918-mshank,61.45026652,SPEAR_IBI
20210310-1100-drebuck,39.8500428,SPEAR_IBI
20210310-1300-drebuck,40.10983844,SPEAR_IBI
20210310-1515-drebuck,52.10281235,SPEAR_IBI
20210311-1040-drebuck,20.97123489,SPEAR_IBI
20210311-1045-tdaley,43.14766794,SPEAR_IBI
20210311-1225-tdaley,67.02979331,SPEAR_IBI
20210311-1305-drebuck,18.1995482,SPEAR_IBI
20210311-1315-tdaley,35.43396978,SPEAR_IBI
20210315-1005-drebuck,34.71378514,SPEAR_IBI
20210315-1100-smeans,50.65362283,SPEAR_IBI
20210315-1220-drebuck,50.06745393,SPEAR_IBI
20210315-1440-drebuck,42.51480579,SPEAR_IBI
20210317-1000-drebuck,44.70721916,SPEAR_IBI
20210317-1100-smeans,52.21560324,SPEAR_IBI
20210317-1230-drebuck,46.1463677,SPEAR_IBI
20210319-1015-drebuck,53.32222876,SPEAR_IBI
20210319-1220-drebuck,49.64960185,SPEAR_IBI
20210319-1400-drebuck,61.94545574,SPEAR_IBI
20210322-1045-drebuck,54.77418093,SPEAR_IBI
20210322-1240-drebuck,58.1134438,SPEAR_IBI
20210322-1430-drebuck,63.56348898,SPEAR_IBI
20210323-0900-jagrassi,65.3738168,SPEAR_IBI
20210323-1030-smeans,39.63363354,SPEAR_IBI
20210323-1055-drebuck,61.65306965,SPEAR_IBI
20210323-1200-jagrassi,53.35065516,SPEAR_IBI
20210323-1250-tdaley,38.28121723,SPEAR_IBI
20210323-1330-jagrassi,52.58196046,SPEAR_IBI
